id;name;register_number;phone;email;address;city;zip_code
1;Cliente 1;05533520586545;(40) 3401-5150;cliente1@example.com;Rua Tiradentes, 926;Pinhais;54289891
2;Cliente 2;61776869155;(56) 4159-1288;cliente2@example.com;Rua Tiradentes, 645;Londrina;38512465
3;Cliente 3;49673738036;(58) 1754-9916;cliente3@example.com;Avenida Brasil, 612;Colombo;83603862
4;Cliente 4;25088129389;(57) 3961-6581;cliente4@example.com;Avenida Brasil, 833;Pinhais;13934914
5;Cliente 5;44825940568;(25) 8624-4927;cliente5@example.com;Rua XV de Novembro, 676;Pinhais;16725112
6;Cliente 6;47627119053;(75) 3151-1305;cliente6@example.com;Rua das Hortansias, 653;Foz do Iguacu;27215579
7;Cliente 7;7,01487E+13;(53) 2075-1487;cliente7@example.com;Rua das Hortansias, 441;Foz do Iguacu;28706241
8;Cliente 8;4,9706E+13;(46) 7810-2203;cliente8@example.com;Rua Tiradentes, 110;Cascavel;13136297
9;Cliente 9;60599884310;(30) 9277-5934;cliente9@example.com;Rua das Flores, 915;Maringa;01789191
10;Cliente 10;4,991E+13;(40) 2868-6877;cliente10@example.com;Rua das Hortansias, 22;Ponta Grossa;80278029
11;Cliente 11;23443079319;(57) 8097-4243;cliente11@example.com;Rua das Palmeiras, 9;Cascavel;51878833
12;Cliente 12;3,44933E+13;(65) 6307-6756;cliente12@example.com;Avenida Brasil, 99;Araucaria;49173667
13;Cliente 13;20057497083;(77) 3204-7308;cliente13@example.com;Rua das Flores, 417;Ponta Grossa;39707075
14;Cliente 14;93475852993;(22) 2452-6086;cliente14@example.com;Rua das Flores, 253;Sao Jose dos Pinhais;39145912
15;Cliente 15;72945835891;(58) 5311-6405;cliente15@example.com;Rua das Araucarias, 654;Londrina;23604891
16;Cliente 16;6,80111E+13;(96) 8563-4184;cliente16@example.com;Rua Tiradentes, 459;Maringa;53395067
17;Cliente 17;5,29772E+13;(54) 1711-5031;cliente17@example.com;Rua das Flores, 121;Londrina;59934996
18;Cliente 18;62068151262;(24) 7125-9696;cliente18@example.com;Avenida Marechal Floriano, 95;Foz do Iguacu;53149270
19;Cliente 19;2,63408E+13;(59) 8401-7082;cliente19@example.com;Rua das Flores, 839;Pinhais;76907546
20;Cliente 20;7,47174E+13;(81) 5932-2357;cliente20@example.com;Rua das Araucarias, 600;Ponta Grossa;90815475
21;Cliente 21;79458931339;(56) 1850-6435;cliente21@example.com;Avenida Marechal Floriano, 14;Foz do Iguacu;46588856
22;Cliente 22;20388263570;(27) 5067-1438;cliente22@example.com;Rua Sao Paulo, 671;Sao Jose dos Pinhais;37818466
23;Cliente 23;29071981402;(64) 5447-4292;cliente23@example.com;Rua das Palmeiras, 56;Ponta Grossa;19100692
24;Cliente 24;3,4939E+13;(94) 3530-2990;cliente24@example.com;Rua Tiradentes, 463;Foz do Iguacu;60530383
25;Cliente 25;81079772207;(59) 4688-3096;cliente25@example.com;Rua Tiradentes, 236;Colombo;14033116
26;Cliente 26;1,55627E+13;(85) 9025-4421;cliente26@example.com;Rua Sao Paulo, 782;Pinhais;21086993
27;Cliente 27;54680828283;(22) 1097-9768;cliente27@example.com;Rua das Hortansias, 831;Londrina;53225106
28;Cliente 28;85285486233;(11) 8364-8256;cliente28@example.com;Rua das Araucarias, 209;Londrina;76855248
29;Cliente 29;5,36932E+13;(77) 4624-3500;cliente29@example.com;Rua Sao Paulo, 636;Araucaria;68042763
30;Cliente 30;04908663664859;(93) 8729-3888;cliente30@example.com;Rua Sao Paulo, 349;Araucaria;20930141
31;Cliente 31;63021294312;(21) 2048-3401;cliente31@example.com;Rua das Flores, 456;Curitiba;42620180
32;Cliente 32;7,76356E+13;(69) 2380-2303;cliente32@example.com;Rua Tiradentes, 989;Araucaria;75246808
33;Cliente 33;9,68083E+13;(77) 5524-4065;cliente33@example.com;Avenida Marechal Floriano, 601;Curitiba;56635471
34;Cliente 34;21263283385;(58) 1875-3089;cliente34@example.com;Rua das Hortansias, 582;Sao Jose dos Pinhais;94888682
